Id,Label,Type
narcolepsy,Narcolepsy,Keyword
hypothalamus,Hypothalamus,Keyword
auto-immune,Auto-immune,Keyword
inflammation,Inflammation,Keyword
parkinsons,Parkinsons,Keyword
pneumonia,Pneumonia,Keyword
